prefix,year,season,label,folder,date,drone_serial,camera_serial,frames,photos,start_utc,edge_px,fine_detail,wide_share,fnumber,focus_mm,focus_finite_share,focus_values,drone,soft
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604301150_028_2/,2026,spring,M3M-green,DJI_202604301150_028_2,20260430,1581F5FK324B100CS0ZN,493OK984AB00LH,20,524,2026-04-30 17:56:31.457674+00:00,3.3053267842488943,0.3328387439250946,0.0,3.2,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605011105_032_12/,2026,spring,M3M-green,DJI_202605011105_032_12,20260501,1581F5FK324B100CS0ZN,493OK984AB00LH,20,562,2026-05-01 17:10:00.368330+00:00,3.999598787405044,0.14283247292041773,0.95,3.2,23052.0,1.0,1,green,True
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605011131_033_12/,2026,spring,M3M-green,DJI_202605011131_033_12,20260501,1581F5FK324B100CS0ZN,493OK984AB00LH,20,579,2026-05-01 17:37:22.892261+00:00,3.0232911851658137,0.5656751692295074,0.0,3.2,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605011158_034_12/,2026,spring,M3M-green,DJI_202605011158_034_12,20260501,1581F5FK324B100CS0ZN,493OK984AB00LH,20,636,2026-05-01 18:02:06.238753+00:00,3.0193692568064927,0.6664039194583893,0.0,3.5,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605011224_035_12/,2026,spring,M3M-green,DJI_202605011224_035_12,20260501,1581F5FK324B100CS0ZN,493OK984AB00LH,20,71,2026-05-01 18:28:21.622322+00:00,3.067055370412741,0.7533122599124908,0.0,3.5,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,2026,spring,M3M-green,DJI_202605021029_036_13,20260502,1581F5FK324B100CS0ZN,493OK984AB00LH,20,699,2026-05-02 16:33:49.245110+00:00,5.5232577201943895,0.12818139046430585,0.95,3.2,3851.0,1.0,1,green,True
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021057_037_13/,2026,spring,M3M-green,DJI_202605021057_037_13,20260502,1581F5FK324B100CS0ZN,493OK984AB00LH,20,457,2026-05-02 17:01:54.924574+00:00,5.074696670866311,0.1105248369276523,0.95,2.8,3303.0,1.0,1,green,True
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021247_038_18/,2026,spring,M3M-green,DJI_202605021247_038_18,20260502,1581F5FK324B100CS0ZN,493OK984AB00LH,20,482,2026-05-02 18:53:16.203996+00:00,3.2251484576951492,0.9148082137107849,0.0,4.0,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021314_039_18/,2026,spring,M3M-green,DJI_202605021314_039_18,20260502,1581F5FK324B100CS0ZN,493OK984AB00LH,20,496,2026-05-02 19:19:00.549752+00:00,3.1359359238839257,1.096469521522522,0.0,3.5,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021340_040_18/,2026,spring,M3M-green,DJI_202605021340_040_18,20260502,1581F5FK324B100CS0ZN,493OK984AB00LH,20,255,2026-05-02 19:45:08.432066+00:00,3.279074803975794,0.8252416551113129,0.05,4.0,,0.0,1,green,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604271127_001_17/,2026,spring,M3M-red,DJI_202604271127_001_17,20260427,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,290,2026-04-27 17:37:14.132441+00:00,2.931510788756144,0.9191109836101531,0.0,3.2,,0.0,1,red,False
