year,season,label,folder,prefix,photos,first,last,date,duplicate_of
2026,summer,M3M-green,DJI_202606300849_002_4,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300849_002_4/,547,20260630085343,20260630091202,20260630,
2026,summer,M3M-green,DJI_202606300916_003_4,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300916_003_4/,500,20260630092208,20260630093852,20260630,
2026,summer,M3M-green,DJI_202606300942_004_4,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300942_004_4/,485,20260630094753,20260630100409,20260630,
2026,summer,M3M-green,DJI_202606300942_005,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606300942_005/,1,20260630100411,20260630100411,20260630,
2026,summer,M3M-green,DJI_202606301009_006_4,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606301009_006_4/,566,20260630101419,20260630103329,20260630,
2026,summer,M3M-green,DJI_202606301009_007,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606301009_007/,1,20260630103331,20260630103331,20260630,
2026,summer,M3M-green,DJI_202606301036_008_4,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606301036_008_4/,72,20260630103936,20260630104158,20260630,
2026,summer,M3M-green,DJI_202607010952_009_3,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202607010952_009_3/,605,20260701095501,20260701101516,20260701,
2026,summer,M3M-green,DJI_202607011018_010_3,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202607011018_010_3/,616,20260701102225,20260701104303,20260701,
2026,summer,M3M-green,DJI_202607011018_011,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202607011018_011/,1,20260701104305,20260701104305,20260701,
2026,summer,M3M-green,DJI_202607011047_012_3,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202607011047_012_3/,523,20260701105126,20260701110913,20260701,
2026,summer,M3M-green,DJI_202607011047_013,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202607011047_013/,1,20260701110916,20260701110916,20260701,
2026,summer,M3M-green,DJI_202607011113_014_3,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202607011113_014_3/,455,20260701111704,20260701113218,20260701,
2026,summer,M3M-red,DJI_202606221004_001_17,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221004_001_17/,312,20260622101034,20260622102559,20260622,
2026,summer,M3M-red,DJI_202606221004_002,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221004_002/,1,20260622102602,20260622102602,20260622,
2026,summer,M3M-red,DJI_202606221031_003_17,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221031_003_17/,370,20260622103643,20260622105546,20260622,
2026,summer,M3M-red,DJI_202606221031_004,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221031_004/,1,20260622105549,20260622105549,20260622,
