kind,prefix,photo,partner_prefix,partner_photo,dist_m,ok,scale,inliers,fine_detail_ratio,edge_px,partner_edge_px,dark_floor,partner_dark_floor,contrast_span_ratio,contrast_cv_ratio,why
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021054_038_14/,230,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021314_039_18/,364,23.144860111702208,True,1.0786336701132926,249.0,0.4739001916005222,4.42343708783962,3.7662206126081887,0.3951612903225806,0.3308270676691729,0.9254838709677419,0.9380655791156753,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021054_038_14/,369,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021314_039_18/,286,13.334929581630643,True,1.0182388969964002,135.0,0.724301690084537,3.393088811167907,3.0959647338080707,0.375,0.3464566929133858,1.006161971830986,1.0055019302980732,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021054_038_14/,508,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021314_039_18/,220,15.781971021152492,True,1.0435358728029138,185.0,0.4729671336714305,3.8579358900585587,3.2344657684236138,0.5151515151515151,0.47368421052631576,0.9479166666666666,0.9056066792153936,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021121_039_14/,182,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604281423_017_9/,228,31.010798490987792,True,0.8806358634347113,120.0,1.1055969387941529,3.9697611030944366,4.241345445617481,0.6,0.6766917293233082,1.072369714847591,1.1045490771479052,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021121_039_14/,246,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021314_039_18/,53,8.430000842237387,True,1.033612447887556,427.0,0.36666330183824497,4.220062741138715,3.2733361239012138,0.5671641791044776,0.48148148148148145,0.8356473446719889,0.8324121096693801,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021147_041_14/,77,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_025_15/,9,12.06524335347584,True,0.9332957786197998,276.0,0.35832268495854896,4.197446172655029,3.213116663754441,0.6015625,0.4962962962962963,0.8317454268292683,0.805807142150338,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021147_041_14/,93,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,5,8.46003255831952,True,1.002984557593747,510.0,0.23066862410268268,4.472929009280504,2.9833027126337406,0.6031746031746031,0.40476190476190477,0.708955223880597,0.6739480347917248,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021147_041_14/,110,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,18,8.63811032400784,True,0.9995370208720127,435.0,0.2883463622067989,4.8372110705596105,3.3822512817558614,0.6212121212121212,0.4701492537313433,0.7382920110192837,0.7201488195868715,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021147_041_14/,127,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,30,6.8661702129043904,True,0.9885972753213087,264.0,0.31791107370136096,4.657395126757361,3.330554972566186,0.6014492753623188,0.5111111111111111,0.8019976498237369,0.8020549622274524,
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021147_041_14/,143,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,42,6.699368337614064,True,1.008446859591429,367.0,0.2563997293602582,4.384417999256229,3.077543208444496,0.5074626865671642,0.43609022556390975,0.8903643546971027,0.8272538487818843,
